"","IFA","group","dom_habitat","ecogroup"
"566","19989",1,7,"hab7_grp1"
"567","19993",1,7,"hab7_grp1"
"568","19997",1,7,"hab7_grp1"
"569","2",3,NA,"habNA_grp3"
"570","20012",1,NA,"habNA_grp1"
"571","20013",1,7,"hab7_grp1"
"572","20015",1,NA,"habNA_grp1"
"573","2002",2,3,"hab3_grp2"
"574","20023",1,8,"hab8_grp1"
"575","20025",1,8,"hab8_grp1"
"576","20033",1,NA,"habNA_grp1"
"577","20035",1,7,"hab7_grp1"
"578","20038",1,2,"hab2_grp1"
"579","20043",1,5,"hab5_grp1"
"580","20045",1,8,"hab8_grp1"
"581","20046",1,7,"hab7_grp1"
"582","20051",1,7,"hab7_grp1"
"583","20053",1,8,"hab8_grp1"
"584","20061",1,7,"hab7_grp1"
"585","20065",1,2,"hab2_grp1"
"586","20070",1,7,"hab7_grp1"
"587","20071",1,2,"hab2_grp1"
"588","20072",1,NA,"habNA_grp1"
"589","20085",1,5,"hab5_grp1"
"590","20092",1,7,"hab7_grp1"
"591","2010",1,NA,"habNA_grp1"
"592","20101",1,8,"hab8_grp1"
"593","20111",1,7,"hab7_grp1"
"594","20118",1,7,"hab7_grp1"
"595","2012",1,NA,"habNA_grp1"
"596","20121",1,2,"hab2_grp1"
"597","20128",1,7,"hab7_grp1"
"598","20130",1,7,"hab7_grp1"
"599","20131",1,7,"hab7_grp1"
"600","20134",1,7,"hab7_grp1"
"601","2014",1,3,"hab3_grp1"
"602","20160",1,7,"hab7_grp1"
"603","20169",1,8,"hab8_grp1"
"604","2017",2,NA,"habNA_grp2"
"605","20186",1,NA,"habNA_grp1"
"606","20194",1,7,"hab7_grp1"
"607","20197",1,NA,"habNA_grp1"
"608","20199",1,7,"hab7_grp1"
"609","20207",1,NA,"habNA_grp1"
"610","20211",1,NA,"habNA_grp1"
"611","20262",1,7,"hab7_grp1"
"612","20263",1,7,"hab7_grp1"
"613","20280",2,7,"hab7_grp2"
"614","20283",1,7,"hab7_grp1"
"615","20299",1,7,"hab7_grp1"
"616","20302",1,7,"hab7_grp1"
"617","20303",1,5,"hab5_grp1"
"618","20305",1,7,"hab7_grp1"
"619","20309",1,7,"hab7_grp1"
"620","20311",1,5,"hab5_grp1"
"621","20331",1,NA,"habNA_grp1"
"622","20338",1,NA,"habNA_grp1"
"623","20342",1,8,"hab8_grp1"
"624","2035",2,3,"hab3_grp2"
"625","20350",1,7,"hab7_grp1"
"626","20372",1,8,"hab8_grp1"
"627","20379",1,7,"hab7_grp1"
"628","20383",1,7,"hab7_grp1"
"629","20392",1,7,"hab7_grp1"
"630","20393",1,7,"hab7_grp1"
"631","20395",1,7,"hab7_grp1"
"632","20396",1,7,"hab7_grp1"
"633","20398",1,NA,"habNA_grp1"
"634","204",1,1,"hab1_grp1"
"635","20404",1,8,"hab8_grp1"
"636","20416",1,7,"hab7_grp1"
"637","20418",1,7,"hab7_grp1"
"638","20419",1,8,"hab8_grp1"
"639","20431",1,7,"hab7_grp1"
"640","20432",1,7,"hab7_grp1"
"641","20433",1,7,"hab7_grp1"
"642","20436",1,7,"hab7_grp1"
"643","20443",1,7,"hab7_grp1"
"644","20445",3,7,"hab7_grp3"
"645","2045",1,NA,"habNA_grp1"
"646","20460",1,7,"hab7_grp1"
"647","20465",1,7,"hab7_grp1"
"648","20479",1,7,"hab7_grp1"
"649","20492",1,7,"hab7_grp1"
"650","20497",1,7,"hab7_grp1"
"651","20514",1,2,"hab2_grp1"
"652","20525",1,7,"hab7_grp1"
"653","20526",1,7,"hab7_grp1"
"654","2054",1,NA,"habNA_grp1"
"655","20541",1,7,"hab7_grp1"
"656","20548",1,7,"hab7_grp1"
"657","2056",3,NA,"habNA_grp3"
"658","2059",2,NA,"habNA_grp2"
"659","20603",1,7,"hab7_grp1"
"660","2062",1,3,"hab3_grp1"
"661","20623",1,7,"hab7_grp1"
"662","20626",1,7,"hab7_grp1"
"663","20654",1,7,"hab7_grp1"
"664","20659",1,7,"hab7_grp1"
"665","2069",2,3,"hab3_grp2"
"666","20691",1,7,"hab7_grp1"
"667","207",1,1,"hab1_grp1"
"668","2081",1,3,"hab3_grp1"
"669","20825",1,7,"hab7_grp1"
"670","20863",2,7,"hab7_grp2"
"671","20906",1,7,"hab7_grp1"
"672","2092",2,3,"hab3_grp2"
"673","20934",1,2,"hab2_grp1"
"674","20975",1,8,"hab8_grp1"
"675","20978",1,8,"hab8_grp1"
"676","21022",1,8,"hab8_grp1"
"677","21033",1,8,"hab8_grp1"
"678","21044",1,7,"hab7_grp1"
"679","21072",1,8,"hab8_grp1"
"680","21080",1,7,"hab7_grp1"
"681","21090",1,7,"hab7_grp1"
"682","21103",1,8,"hab8_grp1"
"683","21119",1,NA,"habNA_grp1"
